model_name,cpu_cores,mem_cap_gb,gpu_mode,gpu_name,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_eff_w,peak_power_eff_w,energy_eff_j,cold_start_s,status,error
amazon/chronos-bolt-base,1,4,off,nan,1,512,64,0,1,0.279420,3.578841,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,512,64,1,1,0.206165,4.850487,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,512,64,0,0,0.376991,2.652582,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,512,64,1,0,0.313757,3.187176,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,512,64,2,0,0.287209,3.481782,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,512,64,3,0,0.286299,3.492853,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,512,64,4,0,0.302917,3.301229,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,1024,64,0,1,0.400183,2.498857,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,1024,64,1,1,0.395437,2.528847,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,1024,64,0,0,0.295500,3.384092,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,1024,64,1,0,0.303270,3.297391,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,1024,64,2,0,0.379270,2.636642,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,1024,64,3,0,0.299131,3.343022,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,1024,64,4,0,0.296694,3.370476,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,2048,64,0,1,0.409912,2.439545,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,2048,64,1,1,0.496437,2.014355,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,2048,64,0,0,0.399054,2.505925,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,2048,64,1,0,0.594373,1.682446,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,2048,64,2,0,0.586029,1.706401,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,2048,64,3,0,0.389668,2.566285,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,2048,64,4,0,0.401172,2.492698,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,64,64,0,1,0.579802,1.724728,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,64,64,1,1,0.192745,5.188211,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,64,64,0,0,0.192852,5.185312,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,64,64,1,0,0.167851,5.957680,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,64,64,2,0,0.192025,5.207667,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,64,64,3,0,0.191574,5.219904,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,64,64,4,0,0.191248,5.228810,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,128,64,0,1,0.195193,5.123135,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,128,64,1,1,0.215323,4.644178,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,128,64,0,0,0.271725,3.680196,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,128,64,1,0,0.114302,8.748780,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,128,64,2,0,0.192413,5.197144,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,128,64,3,0,0.195286,5.120697,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,128,64,4,0,0.291998,3.424675,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,256,64,0,1,0.202658,4.934409,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,256,64,1,1,0.272183,3.673995,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,256,64,0,0,0.202184,4.945998,nan,nan,nan,4.042,ok,
amazon/chronos-bolt-base,1,8,off,nan,1,256,64,1,0,0.200127,4.996834,nan,nan,nan,4.042,ok,
