model_name,cpu_cores,mem_cap_gb,gpu_mode,gpu_name,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_eff_w,peak_power_eff_w,energy_eff_j,cold_start_s,status,error
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,512,64,2,0,0.040682,24.580640,0.323200,0.423000,0.071727,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,512,64,3,0,0.038075,26.264253,0.151200,0.256000,0.031823,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,512,64,4,0,0.036929,27.079149,0.196200,0.329000,0.041065,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,1024,64,0,1,0.044730,22.356181,0.224000,0.506500,0.043617,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,1024,64,1,1,0.038788,25.781386,0.376400,0.491000,0.082258,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,1024,64,0,0,0.041692,23.985252,0.278800,0.468000,0.058349,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,1024,64,1,0,0.038142,26.217972,0.331200,0.542000,0.068852,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,1024,64,2,0,0.036958,27.057598,0.223000,0.514000,0.042772,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,1024,64,3,0,0.087459,11.433961,0.270833,0.508000,0.068222,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,1024,64,4,0,0.038064,26.271218,0.274400,0.519000,0.055699,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,2048,64,0,1,0.041604,24.035893,0.593600,0.755000,0.130217,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,2048,64,1,1,0.038874,25.724153,0.459000,0.773000,0.095839,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,2048,64,0,0,0.039973,25.016809,0.405600,0.686000,0.084661,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,2048,64,1,0,0.040084,24.947810,0.561400,0.817000,0.120782,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,2048,64,2,0,0.039515,25.306863,0.621400,0.782000,0.137244,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,2048,64,3,0,0.038191,26.184389,0.432800,0.734000,0.090348,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,2048,64,4,0,0.038441,26.013941,0.263600,0.659000,0.049696,7.681,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,64,64,0,1,0.604227,1.655006,20.903750,21.248500,15.784364,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,64,64,1,1,0.045879,21.796461,0.174800,0.272000,0.036447,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,64,64,0,0,0.038683,25.851402,0.129800,0.218000,0.027262,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,64,64,1,0,0.038345,26.079240,0.239000,0.356000,0.049990,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,64,64,2,0,0.038278,26.124932,0.226800,0.297500,0.049529,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,64,64,3,0,0.038907,25.702534,0.117000,0.198000,0.024623,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,64,64,4,0,0.037806,26.450481,0.195500,0.331500,0.040506,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,128,64,0,1,0.039717,25.178139,0.227400,0.326000,0.048803,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,128,64,1,1,0.038132,26.224990,0.135600,0.226000,0.028413,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,128,64,0,0,0.037762,26.481860,0.116200,0.205000,0.024058,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,128,64,1,0,0.038487,25.982500,0.174400,0.299000,0.035931,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,128,64,2,0,0.042301,23.640197,0.248000,0.306000,0.054227,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,128,64,3,0,0.038724,25.823625,0.128000,0.222000,0.027246,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,128,64,4,0,0.038289,26.116863,0.159400,0.342000,0.031042,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,256,64,0,1,0.044060,22.696194,0.222800,0.315500,0.048240,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,256,64,1,1,0.042075,23.766987,0.139600,0.256000,0.028640,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,256,64,0,0,0.042129,23.736688,0.234000,0.374000,0.048672,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,256,64,1,0,0.040574,24.646532,0.185000,0.308000,0.038713,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,256,64,2,0,0.041593,24.042574,0.170800,0.229000,0.038044,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,256,64,3,0,0.041654,24.007120,0.176600,0.301000,0.036868,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,256,64,4,0,0.042469,23.546774,0.109400,0.273500,0.020618,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,512,64,0,1,0.040849,24.480599,0.251600,0.333000,0.055005,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,512,64,1,1,0.039185,25.520068,0.219600,0.394000,0.045272,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,512,64,0,0,0.038906,25.702820,0.320400,0.522000,0.065675,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,512,64,1,0,0.038814,25.764211,0.238000,0.358000,0.050920,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,512,64,2,0,0.039257,25.472955,0.208800,0.289000,0.046764,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,512,64,3,0,0.038594,25.910440,0.232800,0.396000,0.048346,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,512,64,4,0,0.039219,25.498163,0.198400,0.433000,0.038547,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,1024,64,0,1,0.040896,24.452343,0.391600,0.535000,0.085158,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,1024,64,1,1,0.039286,25.454354,0.259600,0.442000,0.054227,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,1024,64,0,0,0.039487,25.324787,0.318600,0.514000,0.066569,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,1024,64,1,0,0.039091,25.581329,0.313200,0.476500,0.066928,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,1024,64,2,0,0.038485,25.984025,0.392800,0.495500,0.086437,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,1024,64,3,0,0.039684,25.199064,0.302600,0.502000,0.063492,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,1024,64,4,0,0.038975,25.657178,0.169600,0.424000,0.032024,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,2048,64,0,1,0.043483,22.997339,0.523600,0.689000,0.115016,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,2048,64,1,1,0.045119,22.163805,0.426800,0.732000,0.088790,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,2048,64,0,0,0.044874,22.284751,0.410800,0.686000,0.086091,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,2048,64,1,0,0.044612,22.415501,0.322800,0.692000,0.063898,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,2048,64,2,0,0.042447,23.558968,0.595400,0.776000,0.130714,6.960,ok,
amazon/chronos-bolt-base,1,8,on,NVIDIA GeForce RTX 3080,1,2048,64,3,0,0.052857,18.918954,0.379800,0.639000,0.079388,6.960,ok,
